ID	adj.P.Val	P.Value	t	B	logFC	AveExpr	Symbol
ILMN_1356887	0.990429814589541	0.96542138348389	0.0438301045035607	-6.67535584575325	0.00183654304065328	7.83315157620508	Fshr
ILMN_1350757	0.938749584381485	0.795346697223496	-0.262429422260748	-6.67535954647627	-0.010850706848438	7.47943889093555	LOC501478
ILMN_1360213	0.946366778781217	0.818918842717173	0.231594183521122	-6.67536289965318	0.00912797158999279	7.4039322890625	Slc39a12_predicted
ILMN_1359780	0.923322786403911	0.754664093817814	0.316283876613209	-6.67536809833503	0.01379462402799	7.59125055987695	LOC501175
ILMN_1355647	0.943635610717939	0.80864498168392	0.245003677466348	-6.67537032899457	0.00898292137547152	7.4352375905957	RGD1560678_predicted
ILMN_1354061	0.946550619999493	0.82012185390304	0.230026887998409	-6.67538660988933	0.0128320919956835	7.32147571756445	RGD1307859_predicted
ILMN_1353261	0.945550979855353	0.815005007813215	0.236697292199927	-6.6754601404295	0.0118015495635486	7.43372194965234	Clmn_predicted
ILMN_1372634	0.946366778781217	0.818664922028926	0.231925069643124	-6.67548086648124	0.00955293962799697	7.38064041110937	Atoh7_predicted
ILMN_1353599	0.945324524673411	0.813552355316328	-0.238592980679621	-6.67548373924071	-0.00857867219878461	7.4262033981582	LOC289288
ILMN_1369970	0.924893976359966	0.758838751797363	0.310716239085353	-6.6754964504378	0.0144412299435919	7.57681576557617	Oprl1
ILMN_1354932	0.946366778781217	0.81895998719854	-0.231540570298462	-6.67551211243066	-0.0094107518823412	7.37487597441602	Dear
ILMN_1357692	0.975445472794297	0.91222497919716	0.111462415010507	-6.67556538836886	0.00527910768857787	7.81998010010352	RGD1565575_predicted
ILMN_1363370	0.945898817427375	0.81596004634358	0.235451464903022	-6.67558363176949	0.00954532633729688	7.76570196026172	LOC499873
ILMN_1369391	0.941854481173546	0.802848677176693	0.252589169387451	-6.67571708101776	0.00966050914166772	7.46208760423242	Cyp3a1
ILMN_1356388	0.940162237866434	0.798397248932171	0.258424916729172	-6.67575933758758	0.0107002596360539	7.48927822310547	LOC304714
ILMN_1353168	0.942949531979409	0.806406642718467	-0.247931176761763	-6.67577996145219	-0.0121185824489913	7.46763408039844	Zim1_predicted
ILMN_1650842	0.942443561864331	0.804300303545003	0.250688056186352	-6.67579089266158	0.0101913328980352	7.46955841652148	Olr491_predicted
