,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Ddx5,12677,8666,7396,4135,8241,4998,9203,6306
Cep95,237,152,150,75,182,111,160,102
Smurf2,866,529,445,259,560,323,515,368
Kpna2,336,187,160,93,214,123,159,137
RGD1565033,88,82,67,48,74,49,88,59
RGD1359290,37,41,40,1,5,25,29,28
Psmd12,8621,6419,5111,2845,5930,3406,5462,4356
Helz,786,473,414,235,465,238,467,406
Cacng1,3547,3192,2594,1572,2265,1388,3337,2582
Cacng4,1,3,4,2,2,0,3,10
Cacng5,0,0,0,0,0,0,0,0
Prkca,346,260,201,85,247,148,174,185
Apoh,0,0,0,0,0,0,0,0
Cep112,103,53,50,23,62,35,61,30
Axin2,204,90,84,56,69,31,49,64
Rgs9,1,0,1,0,0,0,0,0
Gna13,70,47,26,28,48,28,46,52
Amz2,3624,2338,2183,1185,2585,1351,2365,1795
Slc16a6,241,134,133,92,126,60,130,97
Arsg,186,124,89,52,121,52,60,79
Wipi1,1721,1197,1034,515,1455,617,866,897
Prkar1a,3735,3094,2940,1842,3332,1792,3264,2737
Fam20a,54,38,45,29,44,20,17,20
RGD1559578,0,0,0,0,0,0,0,0
Abca5,115,60,69,48,86,48,57,47
Map2k6,1366,1033,999,536,1269,545,660,730
Kcnj16,0,0,0,0,0,0,0,0
Kcnj2,114,94,73,46,123,37,132,65
Slc39a11,41,29,15,13,15,18,19,15
Sstr2,0,0,0,2,2,0,0,0
Cog1,473,290,218,150,306,135,190,220
Fam104a,1034,651,547,397,790,397,553,464
MGC95210,312,208,190,111,213,97,164,159
Cdc42ep4,584,288,214,142,272,100,157,182
Sdk2,48,42,22,31,45,17,16,21
Rpl38,274,156,152,80,168,79,206,159
Dnai2,0,0,0,1,0,0,0,0
Kif19,0,2,0,1,0,0,1,1
Btbd17,0,0,0,0,0,0,0,0
Gprc5c,228,198,150,131,181,60,173,223
Cd300a,64,12,21,8,14,17,16,9
LOC501738,4,4,7,2,7,2,1,5
RGD1561778,45,23,4,8,7,3,9,23
RGD1559482,110,48,18,18,42,35,45,40
Acox1,1757,971,908,481,1107,571,816,1138
Mrpl38,2243,1233,1102,661,1428,634,1081,1188
Trim65,178,113,126,86,127,66,73,76
Trim47,88,64,58,70,73,23,93,58
Wbp2,661,441,372,257,400,178,367,154
Unc13d,40,17,16,7,19,8,7,8
H3f3b,9170,6684,5415,3589,6169,4846,7094,4646
Galk1,69,36,27,18,42,7,30,24
Itgb4,78,64,47,38,134,53,57,57
Sap30bp,354,259,184,139,221,158,196,188
Recql5,137,72,61,44,86,34,54,46
Smim5,15,9,3,3,8,3,9,4
Llgl2,50,30,20,16,21,9,6,21
Tsen54,250,134,125,72,178,65,124,99
Caskin2,335,197,182,147,188,72,154,106
Mir3577,1,5,1,2,2,0,0,1
Grb2,259,189,123,101,186,76,149,142
Slc25a19,763,358,401,247,492,214,396,315
Mif4gd,1634,1018,1015,605,1111,646,1192,829
Mrps7,2134,1367,1163,710,1404,756,1395,1083
Gga3,767,508,403,212,488,180,391,342
Nup85,773,481,472,251,569,270,483,356
Sumo2,2221,1162,1440,850,1442,689,1724,1303
Hn1,1363,842,717,464,749,500,896,663
LOC100360582,58,25,20,12,31,15,20,16
Armc7,103,85,48,40,73,21,73,61
Slc16a5,4,1,1,0,4,0,3,2
Atp5h,8472,4893,5398,2668,5992,3514,5917,4410
Ict1,1949,1120,1075,592,1309,783,1472,999
Otop3,7,2,0,0,1,0,2,0
Otop2,0,0,0,0,0,0,0,1
Ush1g,11,4,6,5,4,3,2,1
Fads6,493,236,254,104,307,126,185,195
Fdxr,50,30,25,17,32,14,21,27
Grin2c,1,1,0,0,1,0,0,0
Tmem104,105,56,43,32,59,29,40,56
Nat9,424,294,253,147,290,149,256,208
Slc9a3r1,373,176,140,155,133,117,116,98
Cd300lf,22,2,3,1,7,7,4,2
Cd300e,49,23,21,4,45,15,14,20
Cd300le-ps1,270,96,67,55,80,48,89,110
Ten1,165,122,108,45,131,59,131,104
Evpl,38,22,5,13,8,7,11,7
Srp68,1085,670,607,326,647,312,583,515
Galr2,0,0,0,0,0,0,0,0
Exoc7,0,0,0,0,0,0,0,0
Foxj1,0,0,0,0,1,0,0,0
Prpsap1,295,124,129,72,144,70,136,99
Sphk1,21,13,4,4,12,2,9,9
Aanat,0,0,0,0,0,0,0,2
Rhbdf2,185,80,70,33,68,49,60,45
Cygb,416,218,166,97,239,163,123,166
St6galnac2,411,184,134,102,190,204,227,86
St6galnac1,0,0,0,0,0,0,0,0
Jmjd6,733,439,387,204,434,205,434,284
Mettl23,463,228,228,162,306,188,315,167
Srsf2,2713,1491,1504,914,1822,1085,1981,1131
Mfsd11,847,551,472,236,544,291,490,358
Mgat5b,0,0,0,0,0,0,0,0
Sec14l1,974,415,371,216,445,199,339,297
9-Sep,197,116,72,62,86,57,86,100
LOC688276,64,26,19,8,18,11,17,7
Syngr2,4557,2860,2614,1393,2633,1295,2616,1980
Tk1,141,63,61,45,84,50,79,58
Afmid,50,20,24,31,27,16,40,18
Birc5,17,5,4,3,8,4,5,7
Socs3,41,59,9,16,52,6,21,25
Cyth1,408,169,154,108,196,71,118,119
Usp36,668,347,267,184,347,154,250,234
Timp2,612,329,309,210,257,310,362,205
Ddc8,6,1,5,0,1,2,4,0
Lgals3bp,264,168,93,85,68,66,112,83
Cant1,471,327,257,169,309,133,238,213
C1qtnf1,178,100,131,83,142,92,96,88
Engase,89,51,51,30,43,19,43,32
Rbfox3,8,2,7,2,1,2,5,0
Ccdc40,0,1,0,3,4,1,2,0
Enpp7,0,0,0,0,0,0,0,0
Cbx2,22,6,10,2,4,4,6,6
Cbx8,97,48,51,41,55,32,22,43
Gaa,4672,2638,1891,1409,2703,949,1773,2110
Eif4a3,2349,1608,1373,881,1679,914,1675,1168
Nptx1,13,5,3,1,0,0,5,4
Rptor,418,182,237,119,290,103,166,175
Chmp6,1087,607,469,342,670,259,451,428
Baiap2,36,16,16,11,15,8,15,12
Aatk,46,18,25,14,35,16,8,20
Mir3065,0,0,0,0,0,0,0,0
Mir338,0,0,0,0,0,0,0,0
Azi1,113,60,44,32,72,20,45,44
Mir3594,0,0,0,0,0,0,0,0
Mir3562,0,0,0,0,0,0,0,0
Enthd2,381,204,179,122,216,69,141,148
LOC690871,530,358,300,181,333,173,407,301
Actg1,1780,700,849,611,979,679,786,617
Fscn2,33,9,15,12,12,9,5,12
Nploc4,909,550,448,270,574,275,506,359
LOC688298,299,153,152,103,177,71,129,113
Hgs,939,486,342,269,446,165,238,302
Mrpl12,7459,3982,4000,2197,4918,2281,4492,3407
Slc25a10,158,74,82,40,81,57,67,71
Gcgr,87,43,27,53,65,12,107,100
Fam195b,819,458,476,306,602,263,544,305
Ppp1r27,4118,5671,2416,2286,3734,2052,6160,4548
P4hb,7374,4676,4427,2584,4580,2708,4086,3217
Arhgdia,3704,2278,1849,1385,2317,1071,1992,1728
Thoc4,99,79,68,42,68,47,80,39
Anapc11,1099,548,529,338,670,354,785,591
Npb,1,0,0,1,2,0,0,0
Pcyt2,1609,769,813,537,909,359,667,670
Sirt7,128,51,48,20,60,17,31,43
Mafg,351,197,178,116,279,97,190,150
Pycr1,78,40,28,14,36,17,25,22
Myadml2,2392,1590,1328,791,1735,709,917,983
Notum,9,6,10,0,4,0,3,3
LOC688318,139,79,57,55,82,34,32,45
Dcxr,616,239,411,179,326,144,313,275
Rfng,425,181,202,97,243,91,167,157
Gps1,3641,2455,2142,1197,2463,1238,2249,1845
Pp3111,1864,1136,949,610,1134,516,860,817
Fasn,324,104,54,40,38,38,88,57
Slc16a3,2357,1002,738,599,777,541,514,866
Csnk1d,1399,755,586,407,742,336,627,507
Cd7,20,4,12,4,11,8,12,5
Sectm1b,12,6,12,11,5,8,16,10
Sectm1,13,2,2,0,1,0,3,5
Tex19.2,0,0,0,0,0,0,0,0
Tex19.1,0,0,0,0,0,0,0,0
Uts2r,3,1,1,0,4,4,0,0
Ogfod3,275,186,173,127,208,93,187,136
Hexdc,63,28,23,20,29,14,23,24
LOC619574,380,164,173,95,189,101,212,121
Narf,3111,1994,1731,908,2121,996,1860,1404
Foxk2,583,324,326,188,321,182,418,249
Wdr45b,1483,1003,780,510,1010,529,965,658
Rab40b,636,402,565,309,523,88,272,362
Fn3krp,340,199,203,131,234,100,224,177
Fn3k,486,350,367,157,399,157,374,274
Tbcd,733,399,351,235,340,174,319,281
B3gntl1,84,56,39,19,36,20,41,43
Metrnl,86,39,21,15,42,15,27,23
Vom2r65,0,0,0,0,0,0,0,0
Vom2r4,0,1,0,1,1,1,0,0
Vom2r1,0,0,0,0,0,0,0,0
Epha3,11,11,6,2,13,6,4,6
MGC95208,208,111,71,60,113,55,129,84
Cggbp1,937,481,526,274,646,369,671,404
Htr1f,2,0,0,0,0,0,0,0
Pou1f1,1,1,2,0,2,1,1,0
Cadm2,3,0,0,0,0,1,0,1
Gbe1,11930,7519,5276,3527,7817,3697,6441,5030
Robo1,13,5,11,7,10,10,5,12
Robo2,19,12,3,4,12,5,10,5
Hspa8,8,7,8,2,12,3,12,6
Lipi,0,0,0,0,0,1,0,0
Rbm11,2,0,2,1,6,1,1,2
Hspa13,945,657,572,319,625,360,721,467
Samsn1,78,22,10,12,15,15,17,14
Nrip1,745,389,386,207,456,242,470,319
Usp25,689,496,358,175,427,212,406,337
Mir99a,0,0,1,0,0,0,0,0
Mirlet7c-1,1,0,0,0,0,0,0,0
Mir3588,0,0,0,0,0,0,0,0
Mir125b-2,0,0,0,0,0,0,0,0
Cxadr,75,41,49,39,29,41,48,23
Btg3,111,46,54,34,89,44,50,40
RGD1563888,113,53,63,23,73,43,63,35
Chodl,778,508,544,274,463,319,480,526
Tmprss15,1,2,0,0,0,0,1,1
Ncam2,3,3,2,1,4,1,0,7
Olr901,0,0,0,0,0,0,0,0
Olr922,0,0,0,0,0,0,0,0
Jam2,1693,992,877,451,1299,692,894,679
Gabpa,1132,719,609,364,798,416,778,577
Atp5j,11506,7286,7273,3978,9175,4924,9541,6379
App,2696,1745,1330,1014,1416,891,1248,1153
Cyyr1,1329,872,645,259,1251,478,574,551
Adamts1,1194,712,375,232,678,266,354,334
Adamts5,253,158,140,84,149,86,117,112
N6amt1,503,379,322,145,397,185,307,277
Ltn1,2240,1295,1124,569,1358,701,1333,944
Rwdd2b,367,201,172,106,236,101,209,159
Usp16,1706,953,919,444,964,625,1050,736
Cct8,7262,4656,4379,2510,5293,2960,5606,3525
LOC304131,642,602,711,346,717,598,585,325
Bach1,135,72,70,34,71,34,51,48
Grik1,0,0,0,0,0,1,0,0
Cldn17,0,0,0,0,0,0,0,0
Cldn8,0,0,0,0,0,0,0,0
Krtap13-2,0,0,0,0,0,0,0,0
Krtap14,0,0,0,0,0,0,0,0
Krtap15-1,0,0,0,0,0,0,0,0
LOC685304,0,0,0,0,0,0,0,0
Krtap16-5,0,0,0,0,0,0,0,0
Krtap7-1,0,0,0,0,0,0,0,0
Tiam1,53,19,24,14,24,15,14,16
Sod1,3023,1954,1784,1119,2250,1343,2692,1734
Scaf4,360,167,163,83,206,113,190,143
Hunk,2,0,0,0,1,1,0,0
Mis18a,12,7,4,3,114,2,6,6
Mrap,9,5,5,0,8,5,5,3
Urb1,140,91,62,55,71,39,51,58
RGD1306954,1251,675,597,359,736,387,672,555
Synj1,697,443,361,228,482,253,414,354
RGD1562726,3,2,2,4,1,3,4,0
Olig2,0,0,0,0,1,0,0,0
Olig1,0,0,0,0,0,0,0,2
Il10rb,456,220,189,109,245,151,255,167
Ifnar1,950,524,491,310,555,393,532,346
Ifngr2,732,389,371,253,485,238,363,336
Tmem50b,6287,3051,3018,1552,3450,1696,3253,2271
Dnajc28,1022,631,544,261,706,284,516,456
Gart,1241,834,803,451,919,494,832,642
Son,3147,2215,1759,1043,2007,1215,2187,1460
Donson,68,23,26,15,25,13,27,23
Cryzl1,355,204,253,123,251,143,264,182
Itsn1,403,227,172,111,273,94,166,178
Atp5o,22746,13336,14176,7271,15980,9398,16794,12119
Slc5a3,137,115,99,67,112,59,94,107
Kcne2,76,6,4,22,77,8,12,17
Smim11,429,278,255,131,262,192,352,279
LOC498063,0,0,0,0,0,0,0,0
Kcne1,0,0,0,0,0,0,0,0
Rcan1,2450,2543,1241,827,3430,1639,1429,950
Clic6,1,0,0,0,0,0,0,0
Runx1,29,13,11,8,8,5,9,8
Mir802,0,0,0,0,0,0,0,0
RGD1562683,0,0,0,0,0,0,0,0
Setd4,163,130,91,61,111,49,83,86
Cbr1,28,19,21,11,35,14,17,17
Cbr3,42,17,24,13,28,13,18,16
Dopey2,252,119,137,62,106,76,132,103
Morc3,1386,827,782,430,805,549,900,655
Chaf1b,10,6,0,3,3,1,2,2
Cldn14,0,0,0,1,1,0,1,0
Sim2,54,13,19,11,11,4,16,13
Dscr6,5,2,5,2,2,3,2,2
Pigp,1880,724,959,438,964,484,1109,978
Ttc3,5222,2840,2935,1439,3240,1822,2925,2352
Dscr3,601,440,324,219,466,297,381,290
Dyrk1a,584,453,353,176,387,225,368,297
Kcnj6,23,16,6,14,28,2,16,5
Kcnj15,1,6,1,2,4,2,0,2
Erg,347,184,194,96,250,108,189,156
Ets2,1019,769,547,336,578,355,628,472
Psmg1,1175,731,700,413,813,439,775,711
Hmgn1,0,0,0,0,0,0,2,0
Wrb,852,554,463,267,530,298,535,435
Lca5l,2,0,0,1,0,0,0,1
Sh3bgr,12448,8051,7003,3263,7927,4107,7123,6373
B3galt5,0,0,1,0,1,0,2,0
Igsf5,0,0,0,0,0,0,0,0
Pcp4,0,0,0,0,0,0,1,0
Dscam,8,1,0,1,0,2,0,4
Bace2,277,156,124,122,127,130,215,103
Mx1,190,69,19,23,25,42,43,110
Fam3b,13,4,6,4,4,4,9,7
Mx2,173,121,63,50,65,53,121,134
Tmprss2,4,4,1,0,1,1,2,4
Ripk4,1,0,0,0,0,0,0,0
C2cd2,416,223,206,104,249,112,219,169
Zfp295,138,63,77,33,73,28,41,48
Arl6,266,126,114,63,145,101,186,85
Mina,767,611,477,279,594,315,500,484
Gabrr3,1,6,2,0,3,2,3,4
Olr1528,0,0,0,0,0,0,0,0
Olr1529,0,0,0,0,0,0,2,0
Olr1530,0,0,0,0,0,0,0,0
Olr1531,0,0,0,0,0,0,0,0
Olr1532,0,0,0,0,1,0,0,0
Olr1538,0,0,0,0,0,0,0,0
Olr1539,0,0,0,0,0,0,0,0
Olr1537,0,0,0,0,0,0,0,0
Olr1540,0,0,0,0,0,0,0,0
Olr1541,0,0,0,0,0,0,0,0
Olr1542,0,0,0,0,0,0,0,0
Olr1543,0,0,0,0,0,0,0,0
Olr1545,0,0,0,0,0,0,0,0
Olr1546,0,0,0,0,0,0,0,0
Olr1547,0,0,0,0,0,0,0,0
Olr1548,0,0,0,0,0,0,0,0
Olr1549,0,0,0,0,0,0,0,0
Olr1551,0,0,0,0,0,0,0,0
Olr1553,0,0,0,0,0,0,0,0
Olr1555,0,0,0,0,0,0,0,0
Olr1557,0,0,0,0,0,0,0,0
Olr1558,0,0,0,0,0,0,0,0
Olr1559,0,0,0,0,0,0,0,0
Olr1560,0,0,0,0,0,0,0,0
Olr1562,0,0,0,0,0,0,0,0
Olr1563,0,0,0,0,0,0,0,0
Olr1564,0,0,0,0,0,0,0,0
Olr1561,0,0,0,0,0,0,0,0
Cldnd1,7475,5028,4152,2162,4387,2456,5224,3466
Gpr15,6,0,0,0,0,0,1,0
Cpox,769,503,427,230,521,329,583,379
St3gal6,7199,5617,4796,2596,6209,2691,5555,3885
Dcbld2,27,18,13,14,21,14,19,11
Col8a1,321,158,91,133,184,79,81,91
Cmss1,243,124,118,67,93,59,108,90
Tmem30c,6,4,1,1,7,3,9,1
Nit2,3961,2508,2529,929,2841,1579,1198,920
Tomm70a,313,174,153,87,250,117,168,99
Olr1533,0,0,0,0,0,0,0,0
Olr1535,0,0,0,0,0,0,0,0
Olr1536,0,0,0,0,0,0,0,0
Tmem45a,9,5,4,1,5,5,10,9
Gpr128,0,0,0,0,0,0,0,0
Tfg,1731,1036,1080,580,1232,646,1244,885
Impg2,3,3,1,0,0,0,2,0
Senp7,1122,620,602,262,679,394,712,563
Trmt10c,2177,1268,1317,730,1535,931,1517,1024
Pcnp,2840,1729,1482,804,1666,908,1647,1261
Zbtb11,779,487,474,262,471,280,624,334
Rpl24,1058,663,601,367,713,419,763,615
Cep97,224,123,91,50,117,50,81,63
Nxpe3,306,168,217,91,247,124,86,173
Nfkbiz,165,89,75,38,41,72,92,51
Alcam,209,89,107,57,100,71,122,86
Cblb,1172,639,531,328,601,358,497,418
Bbx,701,362,349,201,424,199,372,303
Cd47,2894,1648,1400,916,1564,1104,2098,1262
Ift57,214,67,121,76,153,44,131,101
Retnlg,2,3,3,0,2,1,4,6
Retnla,0,0,0,0,0,0,0,0
Retnlb,0,0,0,0,0,0,0,0
Trat1,35,1,2,0,6,2,0,4
Morc1,1,1,0,0,0,1,0,0
Olr1451,0,0,0,0,0,0,0,0
Olr1453,0,0,0,0,0,0,0,0
Olr1455,0,0,0,0,0,0,0,0
Cd96,20,1,2,2,2,1,4,7
Plcxd2,9,0,6,1,3,1,1,1
Abhd10,582,413,409,207,513,320,513,306
Tagln3,4,3,1,1,1,3,1,1
Gramd1c,1,2,5,2,0,1,4,1
Zdhhc23,4,3,2,0,1,1,3,1
Drd3,0,0,0,0,0,0,0,0
Mir568,194,110,132,75,141,72,140,112
Zbtb20,6200,3917,3397,2233,4545,2225,3575,3192
Pvrl3,25,10,7,5,9,13,14,11
Gap43,27,17,17,33,19,21,28,25
Lsamp,109,74,58,58,37,38,85,42
Tmprss7,2,5,1,0,2,0,0,1
Slc9a10,0,0,0,0,0,0,0,0
Cd200,1953,1063,878,967,1153,987,1080,681
Btla,48,1,6,3,6,3,7,8
Atg3,462,293,239,124,346,165,272,209
Slc35a5,232,169,132,68,148,107,180,116
Ccdc80,5790,4152,2868,2532,1856,2907,4637,2300
Cd200r1,78,32,10,31,24,20,50,12
Gtpbp8,713,432,391,221,553,269,507,328
RGD1311458,124,70,65,33,76,47,67,63
Spice1,193,69,82,56,93,52,89,85
Sidt1,10,3,1,0,2,0,0,1
Naa50,1034,662,588,366,702,366,633,522
Atp6v1a,877,607,601,306,676,410,628,504
LOC498084,0,0,0,0,0,0,0,0
Gpr156,7,1,1,0,0,0,0,0
Gsk3b,515,373,278,140,449,197,373,223
Nr1i2,0,0,1,0,2,1,0,0
Cox17,1058,741,725,346,831,427,877,566
Popdc2,886,647,365,288,439,176,594,397
Pla1a,303,128,124,75,172,107,110,111
Adprh,1236,715,621,386,791,401,684,543
Cd80,10,4,4,3,7,4,9,1
Timmdc1,1954,1160,1142,638,1329,570,1204,835
Poglut1,674,413,390,203,402,209,373,279
Tmem39a,345,283,197,135,234,141,262,194
Arhgap31,149,103,70,47,115,42,61,58
B4galt4,190,91,95,95,79,85,150,63
Upk1b,591,386,364,384,151,444,497,222
Igsf11,2,3,6,4,3,1,1,2
Lrrc58,23,19,7,7,11,7,19,11
Fstl1,2399,1560,1337,1030,1356,1098,1539,1019
Ndufb4,941,603,667,379,745,368,876,550
Hgd,22,0,5,0,1,1,2,1
Rabl3,553,367,302,169,390,197,467,284
Gtf2e1,402,252,221,135,274,116,196,195
Stxbp5l,37,21,14,6,10,12,16,18
Polq,5,3,4,4,0,0,1,3
Hcls1,137,30,25,27,38,19,24,24
Golgb1,1154,688,621,367,692,373,598,494
Iqcb1,1683,1178,966,431,1193,688,1019,862
Eaf2,13,1,1,1,0,0,1,0
Slc15a2,99,53,35,16,44,37,47,30
Ildr1,4,0,1,1,0,1,0,0
Cd86,49,9,12,6,4,8,18,13
Casr,1,1,3,1,0,0,0,1
Stfa3,0,0,0,0,0,0,0,0
Stfa2l1,0,0,0,0,0,0,0,0
Stfa3l1,0,0,0,0,0,0,0,0
Csta,0,0,0,0,0,0,0,0
Ccdc58,473,292,251,162,337,192,402,232
Fam162a,2701,1650,1482,816,1770,1003,1911,1375
Wdr5b,187,132,93,67,109,67,140,112
Kpna1,1850,1319,796,483,1200,544,810,900
Parp9,744,431,222,168,288,246,376,277
Dtx3l,104,58,27,21,36,27,61,45
Parp14,148,73,53,39,88,45,58,69
Hspbap1,213,105,112,57,123,64,83,68
Dirc2,788,511,518,278,519,375,588,481
Sema5b,4,8,3,2,6,6,0,7
Pdia5,185,100,78,29,148,59,18,76
Sec22a,804,544,515,265,663,350,579,421
Adcy5,61,36,28,10,64,20,24,23
Mylk,694,306,265,202,383,260,292,218
Ropn1,46,11,7,5,15,8,14,13
Kalrn,623,436,491,250,440,201,489,236
Umps,502,347,247,151,325,151,261,268
Itgb5,514,310,225,141,284,130,214,171
Slc12a8,8,14,12,7,12,9,7,5
Zfp148,1322,820,786,451,1025,499,741,614
Snx4,1394,791,688,498,1029,542,854,590
Osbpl11,752,355,391,156,389,236,338,283
Lmln,37,20,22,12,33,13,12,18
Rpl35a,68,56,49,29,49,30,39,27
Iqcg,17,15,7,6,3,2,9,17
Fyttd1,7337,4670,4494,2265,5335,2768,4733,3752
Muc20,7,6,2,2,2,24,2,9
Tnk2,320,141,117,102,105,57,104,138
Tfrc,5634,3361,2182,1287,2883,1741,2935,2355
Zdhhc19,2,0,0,1,0,0,0,0
Slc51a,66,30,37,32,15,51,74,18
Pcyt1a,837,675,489,289,620,286,490,353
Tctex1d2,108,66,62,41,90,39,95,57
Tm4sf19,2,1,0,0,0,0,0,3
Ubxn7,51,27,18,8,28,16,25,13
Rnf168,465,386,354,173,345,210,281,223
Wdr53,180,123,141,86,167,94,138,85
Lrrc33,359,180,116,81,191,83,137,131
Cep19,4114,4904,4297,2254,4093,2762,3676,2624
Pigx,698,419,376,226,432,224,432,279
Pak2,51,36,29,19,47,19,44,19
Pigz,0,0,0,0,0,0,0,0
Mfi2,1,1,0,0,0,0,0,0
Dlg1,512,313,276,115,310,140,273,240
Bdh1,2276,669,551,346,1211,449,644,855
Apod,4,55,24,17,97,41,60,60
Ppp1r2,5369,2597,2654,1396,3465,1502,2627,2230
Acap2,488,284,251,164,306,167,263,225
Fam43a,119,65,50,36,75,43,58,46
Lsg1,508,305,265,178,334,161,315,214
Atp13a3,3,0,0,0,0,0,1,0
Gp5,0,0,0,0,0,0,0,0
Lrrc15,2,1,3,1,0,1,0,0
Cpn2,2,0,0,0,0,1,0,1
Hes1,92,49,70,31,44,38,62,46
Opa1,4196,2369,1963,1203,2990,1217,2213,2048
Atp13a4,1,1,5,1,1,0,2,4
Atp13a5,6,1,3,2,10,1,12,3
Hrasls,5486,3185,2898,1708,4340,1681,4256,2664
Mb21d2,523,356,268,216,383,171,285,222
Fgf12,13,7,4,5,5,4,9,3
St6gal1,414,256,177,137,221,146,206,175
Rtp1,0,0,0,0,0,0,0,0
Masp1,3710,3503,2547,1454,3167,1592,1750,2164
Rtp4,400,317,112,108,96,151,250,151
Sst,0,0,0,0,0,0,0,0
Rtp2,3,5,2,2,4,2,3,2
Bcl6,1043,449,369,150,395,198,282,213
Lpp,271,172,138,81,148,94,178,135
Tprg1,0,0,0,0,0,0,0,0
Tp63,368,265,164,73,171,63,208,144
Leprel1,52,27,10,14,31,21,8,17
Cldn1,46,52,74,20,116,45,69,46
Cldn16,0,0,0,0,0,0,0,0
Il1rap,253,144,97,50,101,64,111,113
Ostn,29,15,27,35,6,13,98,67
Uts2d,0,1,0,0,0,0,0,2
Ccdc50,405,237,220,130,273,134,271,236
Adipoq,944,808,356,119,233,870,311,650
Rfc4,692,472,451,234,420,326,492,395
Eif4a2,26912,17507,15712,6990,17261,10074,16333,12100
Kng2,0,0,0,0,0,0,0,0
Kng1l1,0,0,0,0,0,0,0,0
Kng1,0,0,0,0,0,0,0,0
Hrg,0,0,0,0,0,0,0,0
Fetub,2,1,0,0,0,0,0,0
Ahsg,0,0,1,1,0,0,0,0
Dnajb11,950,535,468,257,543,267,458,391
Tbccd1,801,476,392,216,483,256,428,353
Crygs,4,1,0,2,1,0,1,1
Dgkg,33,6,10,9,7,7,4,4
Etv5,223,210,161,158,228,89,255,247
Tra2b,1828,1318,1123,663,1400,748,1522,855
Igf2bp2,34,86,26,17,20,18,43,28
Senp2,802,591,466,215,518,212,467,390
Liph,2,1,2,0,2,10,3,1
Tmem41a,576,249,226,153,202,120,196,171
Map3k13,53,23,18,23,22,18,31,23
Thpo,0,0,0,0,0,0,0,0
Polr2h,0,0,0,0,0,0,0,0
Clcn2,0,0,0,0,0,0,0,0
Ehhadh,36,12,18,8,20,29,8,14
Ephb3,22,11,3,7,8,5,6,1
Chrd,47,26,21,13,22,13,19,15
Psmd2,10483,7817,5862,3271,6450,3010,5251,4795
Ece2,28,26,13,6,25,18,17,22
Camk2n2,0,0,0,0,0,0,0,0
Alg3,813,512,446,249,567,267,558,407
Vwa5b2,66,53,32,21,35,24,36,36
Mir1224,0,3,0,0,1,2,1,1
Abcf3,3210,1891,1749,1020,1906,918,1555,1160
Ap2m1,11001,6822,5926,3597,6922,3506,6323,4866
Dvl3,132,52,51,52,72,32,51,51
Eif2b5,2122,1462,1326,749,1518,681,1177,943
Map6d1,6,7,3,2,6,3,6,6
Yeats2,292,153,136,82,162,88,149,114
Abcc5,1389,872,760,342,897,352,696,681
Parl,1637,1048,1008,584,1220,709,1118,971
Klhl24,19621,12726,12076,6765,13821,7829,12821,8919
Klhl6,51,21,14,6,34,65,20,25
B3gnt5,43,3,4,1,0,3,6,3
Lamp3,2,0,0,0,0,0,0,1
Olr1567,0,0,0,0,0,0,0,0
Olr1568,0,0,0,0,0,0,0,0
Olr1565,0,0,0,0,0,0,0,0
Olr1566,0,0,0,0,0,0,0,0
Olr1569,0,0,0,0,0,0,0,0
Olr1570,0,0,0,0,0,0,0,0
Hira,64,27,23,19,49,22,35,29
Mrpl40,896,583,598,350,758,258,706,510
LOC498122,720,417,444,246,430,222,362,332
Ufd1l,4144,2701,2205,1278,2755,1711,2711,2007
Cdc45,54,36,16,15,28,20,36,35
Cldn5,718,398,249,206,345,202,271,243
5-Sep,28,22,15,15,17,17,8,13
Gp1bb,0,0,0,0,0,0,0,0
Tbx1,137,101,78,37,93,47,57,66
Txnrd2,1043,654,459,313,682,271,427,588
Comt,772,623,368,258,549,349,359,328
Arvcf,173,138,89,70,140,48,55,98
Tango2,6248,4174,3387,1696,5073,2704,2998,2978
Mir185,0,0,0,0,0,0,1,0
Dgcr8,413,202,217,121,216,130,195,165
Trmt2a,309,192,187,103,195,91,175,147
Ranbp1,497,233,266,169,287,185,322,207
Zdhhc8,44,32,21,18,35,13,28,10
Rtn4r,4,2,1,0,3,2,2,1
Prodh,765,215,281,109,294,136,181,255
Dgcr6,1342,763,656,335,718,366,561,693
Vpreb2,0,0,0,0,0,0,0,0
Slc25a1,108,17,28,25,31,13,32,28
Gsc2,0,0,0,0,0,0,0,0
Dgcr14,156,87,88,47,96,39,63,55
Tssk2,4,0,0,0,1,0,0,0
Tssk1b,7,3,2,2,3,1,2,3
Aifm3,16,11,5,9,12,7,7,12
Lztr1,1340,914,703,385,836,310,586,638
Thap7,295,174,142,99,171,96,176,134
P2rx6,604,350,257,188,350,90,272,254
Slc7a4,70,59,38,33,53,29,41,50
Smpd4,336,245,194,99,231,106,202,193
Med15,470,274,224,158,260,112,166,225
Klhl22,1938,1313,1038,574,1241,481,995,866
Scarf2,38,19,7,13,10,7,17,13
Car15,0,0,0,0,0,0,0,0
Crkl,91,55,70,35,54,25,54,26
Snap29,1617,794,759,428,937,382,718,671
Pi4ka,270,179,138,85,166,110,145,123
Serpind1,1,2,2,1,6,1,3,1
Hic2,54,32,22,17,45,29,32,24
Ube2l3,6357,4159,3794,2005,4734,2553,4353,3380
Ydjc,12,10,10,7,5,9,6,4
