,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Cdk6,21,6,7,5,15,8,7,9
Hepacam2,59,3,1,0,2,1,0,1
Ccdc132,896,618,489,264,669,338,616,530
Calcr,43,49,20,18,16,16,26,18
Mir653,0,0,0,0,0,0,0,0
Mir489,0,0,0,0,0,0,0,0
Tfpi2,101,67,62,40,92,57,88,53
Gngt1,1,0,0,0,0,0,1,1
Gng11,0,0,0,0,0,0,0,0
Bet1,2126,1410,1166,710,1343,841,1778,1117
Col1a2,0,0,0,0,0,0,0,0
Sgce,655,488,406,270,472,319,491,347
Ppp1r9a,61,40,25,29,16,19,31,28
Pon1,0,1,1,0,0,0,0,1
Pon3,515,220,299,213,144,280,482,186
Pon2,1651,938,864,585,1140,702,970,653
Asb4,173,156,128,49,87,83,109,122
Pdk4,17664,8316,13292,3481,8679,8887,2942,8275
Dync1i1,4,1,6,3,3,2,1,4
Shfm1,1638,1056,902,531,1082,612,1356,862
Dlx5,9,11,6,4,11,10,3,8
Acn9,463,247,281,139,281,152,346,211
Tac1,1,0,4,0,0,1,0,0
Asns,119,47,31,24,28,50,41,36
C1galt1,134,48,60,24,72,41,51,67
Mios,870,577,410,233,580,328,489,464
Rpa3,289,159,141,83,180,111,244,167
Glcci1,193,88,100,54,121,74,106,82
Ica1,137,84,90,46,53,46,49,59
Nxph1,8,6,3,1,15,11,2,3
Ndufa4,17049,10692,9836,5504,11966,6762,12513,9158
Phf14,916,538,545,252,649,376,555,438
Thsd7a,41,21,16,17,35,12,20,13
Tmem106b,6102,3363,3639,1772,4224,2708,4172,2421
RGD1564521,0,0,0,0,0,0,0,0
Tmem168,1064,744,595,387,816,434,752,514
LOC500034,88,54,54,31,77,49,63,47
LOC500035,7840,4617,4659,2679,5206,2579,5001,4239
Ppp1r3a,18558,14170,12330,5501,14710,8693,16228,11011
Foxp2,293,225,239,144,261,153,285,182
Mdfic,388,219,223,113,279,206,234,170
Cftr,17,13,10,13,6,9,25,15
Cttnbp2,141,107,43,34,70,54,73,66
Naa38,482,303,289,170,343,233,389,258
Ankrd7,0,0,0,0,1,0,1,0
LOC685171,0,0,0,0,0,0,0,0
Gpr85,3,3,0,1,2,1,2,0
Tfec,25,6,4,1,13,7,10,6
